tau,slice,series,n,sq
60,sco,b48x96,401,42.94790972598785
60,sco,b48x120,401,43.93359428264337
60,sco,b72x96,401,41.6626921423157
60,sco,b72x120,401,42.604901836854175
60,sco,b96x120,401,42.506705408766585
63,sel,s24,661,50.98077142975549
63,sel,s48,661,47.932221908773286
63,sel,s72,661,48.367266181034054
63,sel,s96,661,51.19000533020921
63,sel,s120,661,53.31913495608423
63,sel,b24x48,661,49.14554649680275
63,sel,b24x72,661,49.02819769874478
63,sel,b24x96,661,50.26523227161122
63,sel,b24x120,661,50.47544059944957
63,sel,b48x72,661,47.60307083479825
63,sel,b48x96,661,48.61330134723159
63,sel,b48x120,661,48.77018607403839
63,sel,b72x96,661,49.27950805100279
63,sel,b72x120,661,49.75413808103796
63,sel,b96x120,661,51.5463651785438
63,sco,s24,401,37.63544250333095
63,sco,s48,401,42.429499071127694
63,sco,s72,401,40.96673450106691
63,sco,s96,401,40.6066408868752
63,sco,s120,401,43.964600953137996
63,sco,b24x48,401,39.750699546047656
63,sco,b24x72,401,38.959905085890746
63,sco,b24x96,401,38.711880599916604
63,sco,b24x120,401,39.95019945404792
63,sco,b48x72,401,41.50614640902182
63,sco,b48x96,401,41.13332854591707
63,sco,b48x120,401,42.605947526469926
63,sco,b72x96,401,40.46276298599585
63,sco,b72x120,401,41.93597769958964
63,sco,b96x120,401,41.74701668066698
66,sel,s24,658,52.06276392275793
66,sel,s48,658,49.22579197734982
66,sel,s72,658,50.36654064608604
66,sel,s96,658,52.144002446218536
66,sel,s120,658,54.45842685116777
66,sel,b24x48,658,50.294163279622985
66,sel,b24x72,658,50.63447972452037
66,sel,b24x96,658,51.3742637659678
66,sel,b24x120,658,51.65717865919636
66,sel,b48x72,658,49.300051334657496
66,sel,b48x96,658,49.76611535804878
66,sel,b48x120,658,50.07370655089993
66,sel,b72x96,658,50.84701005349884
66,sel,b72x120,658,51.43489182559415
66,sel,b96x120,658,52.5967213180043
66,sco,s24,401,36.42724553315982
66,sco,s48,401,40.266255007868935
66,sco,s72,401,39.47667923132758
66,sco,s96,401,39.605688083454375
66,sco,s120,401,42.31668210854273
66,sco,b24x48,401,38.098537559158665
66,sco,b24x72,401,37.58719980003111
66,sco,b24x96,401,37.56792817054475
66,sco,b24x120,401,38.452227490008234
66,sco,b48x72,401,39.679679733208225
66,sco,b48x96,401,39.55059064054427
66,sco,b48x120,401,40.62741043709259
66,sco,b72x96,401,39.17901110843394
66,sco,b72x120,401,40.42678495202825
66,sco,b96x120,401,40.397217032047436
69,sel,s24,655,51.73469868207512
69,sel,s48,655,48.376893311237396
69,sel,s72,655,50.71702324238832
69,sel,s96,655,52.53781737438497
69,sel,s120,655,55.104891051343216
